Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,,14.19,24.54,24.67,33.8,33.8,24.34,24.46,1,CTB_Ben_Optimised(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/11/2017 11:45:42 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,CTB_Ben_Optimised,0,4174,6,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

28388,27869,30305,29317,30096,28815,32073,27499,26993,27805,29189,27674,29362,28864,29149,29946,28136,28971,27060,27615,27840,27861,26351,24725,
26937,28406,31342,30344,29688,28411,27775,28654,30859,25926,2851,2755,30987,25838,24714,28694,25134,30416,24627,27280,27203,29807,30687,28270,
27611,29428,22668,14546,7947,21506,16105,22831,19014,16091,11541,14804,21913,6380,6327,12146,6308,21427,14014,9473,6997,5768,28394,28803,
27918,29528,10707,10188,13428,10546,15965,9164,12951,17014,14550,14409,14968,18015,11918,7488,19366,17039,17683,11630,13567,12465,29069,26432,
31448,30059,25360,15226,5495,21230,16108,20795,19655,17797,13941,17791,22699,5323,5692,9669,6431,23490,17174,5650,6317,5716,29133,28470,
28780,28500,11844,10340,12275,9057,14052,8625,12825,17596,14107,12935,14942,15310,11976,7118,22344,14404,18278,8953,15829,12499,30875,28354,
27786,26888,23163,14865,5111,17411,14348,20107,15376,14593,11337,13898,17090,5095,5934,8007,5580,19263,16731,5068,6523,4706,2755,28309,
27206,26763,9468,8788,11298,8638,13043,6762,10934,15432,12387,12184,15263,14142,9169,6026,22098,12055,16234,9936,10863,10652,2761,29741,
27006,30156,20139,15850,5789,18289,15940,20020,16843,13113,9770,12895,20140,5080,5971,7529,5859,23541,16673,6375,6629,4923,28784,29154,
27778,29080,9311,9714,9605,8159,12226,7337,11882,13392,12788,11913,15147,11730,10487,6613,16614,15654,18689,10569,13638,10025,29696,30707,
28795,31151,20179,4452,5384,7558,5733,23222,12965,6082,6057,4670,17443,13239,6080,17327,15337,20894,14757,16081,11265,14303,29699,27462,
25003,28855,14073,13782,10121,6132,18751,13989,14358,8560,14079,9113,9077,9340,9434,8185,15744,7869,12587,15581,13189,13565,28035,28348,
29399,29632,21956,5401,5682,8206,6169,23591,16049,7395,6056,4856,19200,15167,6460,19640,14780,23233,19233,18147,12110,15636,29115,29508,
27073,28565,15409,15816,11380,7312,20198,15559,17832,11612,13797,11459,11406,9947,11640,10533,14355,9031,16188,18999,15233,14765,29868,29687,
25965,29273,30945,28832,29583,31768,30866,32230,27313,31086,2789,2761,29865,30188,29098,29723,30440,30476,29912,27035,29957,28381,28417,25789,
26065,28393,27732,27031,28661,30102,29740,30253,29896,28149,30770,29196,30249,29217,29055,28310,29897,28271,28923,30403,27803,29262,27009,27886,


Basic assay information 
Assay ID: ,,,,14619
Assay Started: ,,,,12/11/2017 11:44:55 AM
Assay Finished: ,,,,12/11/2017 11:46:05 AM
Assay Exported: ,,,,12/11/2017 11:47:01 AM
Protocol ID: ,,,,100230
Protocol Name: ,,,,CTB_384_Ben
Serial#: ,,,,="1041071"



Protocol information
Protocol:
Protocol name,,,,CTB_384_Ben
Number of assay repeats,,,,1
Start assay repeat each,,,,N/A
Number of plate repeats,,,,1
Start plate repeat each,,,,N/A
Is label meas. height used,,,,Yes
Height of measurement,,,,Defined in label
Is gripper height used,,,,No
Mode of measurement,,,,By Rows  bi-directional
Rotated plate,,,,No
Soft move,,,,No
Protocol notes,,,, 

Plate type:
Name of the plate type,,,,384 Greiner Black Clear Bottom
Number of rows,,,,16
Number of columns,,,,24
Number of the wells in the plate,,,,384
Height of the plate,,,,14.19 mm

Coordinates of corners:
384 Greiner Black Clear Bottom + CTB_Ben_Optimised
12.09 mm x------------------------------------------------------ x 115.5 mm
9.18 mm                                                            9.14 mm

12.09 mm x------------------------------------------------------ x 115.44 mm
76.39 mm                                                           76.57 mm

Platemap:
Plate,,,,1
Group,,,,1

,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
B,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
C,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
D,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
E,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
F,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
G,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
H,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
I,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
J,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
K,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
